1;3;5328,77;2020-01-02 07:52:11
2;94;-938,75;2020-01-03 22:27:20
3;61;4121,73;2020-01-04 22:43:30
4;10;-5852,42;2020-01-05 01:39:30
5;70;5026,55;2020-01-06 20:20:54
6;60;5575,56;2020-01-07 16:34:26
7;65;-9975,49;2020-01-08 14:17:18
8;82;6745,60;2020-01-09 04:00:33
9;26;-3152,45;2020-01-10 23:40:48
10;68;-3064,12;2020-01-11 03:25:48
11;75;-7527,59;2020-01-12 17:28:53
12;32;-3000,90;2020-01-13 12:03:45
13;71;-7642,80;2020-01-14 18:51:37
14;24;-9530,44;2020-01-15 09:28:00
15;45;-4591,32;2020-01-16 03:53:30
16;67;3660,48;2020-01-17 11:38:08
17;43;-199,24;2020-01-18 19:59:27
18;24;-7415,88;2020-01-19 01:48:26
19;62;-9252,91;2020-01-20 08:50:16
20;68;9957,69;2020-01-21 19:31:01
21;80;-4128,44;2020-01-22 14:50:54
22;42;-8312,99;2020-01-23 22:48:49
23;93;2109,51;2020-01-24 04:14:27
24;51;1966,87;2020-01-25 14:48:08
25;51;-5103,47;2020-01-26 16:32:45
26;86;-5856,64;2020-01-27 15:34:14
27;19;3095,61;2020-01-01 20:50:41
28;83;-4123,74;2020-01-02 14:54:10
29;36;-9272,45;2020-01-03 04:53:41
30;73;-7576,76;2020-01-04 02:08:05
31;33;-97,97;2020-01-05 11:16:17
32;27;984,67;2020-01-06 04:36:08
33;46;2192,80;2020-01-07 17:16:55
34;14;7799,26;2020-01-08 02:02:02
35;6;-1915,86;2020-01-09 18:30:39
36;34;4412,39;2020-01-10 05:12:53
37;17;2650,15;2020-01-11 22:06:41
38;9;1252,11;2020-01-12 08:46:15
39;76;3254,90;2020-01-13 22:38:20
40;88;-3869,28;2020-01-14 04:37:33
41;58;8221,63;2020-01-15 01:28:47
42;40;334,87;2020-01-16 05:43:45
43;33;-2287,35;2020-01-17 13:45:02
44;8;4470,14;2020-01-18 14:24:10
45;43;-5428,65;2020-01-19 15:25:08
46;5;-5014,90;2020-01-20 05:01:41
47;98;6597,55;2020-01-21 16:12:19
48;17;-2284,63;2020-01-22 09:37:47
49;86;7386,32;2020-01-23 05:16:08
50;38;3501,90;2020-01-24 08:21:49
51;79;-6276,56;2020-01-25 01:13:45
52;10;-2025,84;2020-01-26 20:25:01
53;1;9515,98;2020-01-27 08:11:11
54;2;-2632,31;2020-01-01 22:12:44
55;41;-7584,47;2020-01-02 09:08:15
56;72;-7082,42;2020-01-03 02:06:45
57;74;-3796,92;2020-01-04 19:11:12
58;92;71,85;2020-01-05 09:06:14
59;83;3648,84;2020-01-06 09:27:50
60;96;-9282,95;2020-01-07 17:08:28
61;6;6716,52;2020-01-08 02:30:57
62;10;3494,12;2020-01-09 20:43:52
63;74;-4572,64;2020-01-10 22:48:46
64;37;-3227,25;2020-01-11 01:38:54
65;25;-5693,31;2020-01-12 16:36:25
66;30;2995,27;2020-01-13 13:32:57
67;16;2942,46;2020-01-14 11:55:29
68;7;-1383,51;2020-01-15 03:24:41
69;53;2174,63;2020-01-16 05:51:44
70;9;-6799,23;2020-01-17 18:35:43
71;78;-9848,95;2020-01-18 07:30:55
72;24;5574,56;2020-01-19 19:41:34
73;67;-8055,84;2020-01-20 11:46:23
74;74;3760,60;2020-01-21 19:17:45
75;77;-5981,47;2020-01-22 02:48:14
76;58;-3557,95;2020-01-23 20:38:59
77;46;-8117,66;2020-01-24 01:42:38
